Nebraska,SCCALES Case Search,https://www.nebraska.gov/courts/sccales
,JUSTICE One-Time Court Case Search,https://www.nebraska.gov/justicecc/ccname.cgi
,Trial Court Case Search ,http://www.nebraska.gov/subscriber/
Nevada,Appellate Case Management System,http://caseinfo.nvsupremecourt.us/public/caseSearch.do
,Clark County (Clark County District + Justice Courts + Las Vegas Township Court),https://www.clarkcountycourts.us/portal
,Washoe County (District) ,https://www.washoecounty.us/your_government/public-records.php
New Jersey,Civil Case Public Access ,http://njcourts.judiciary.state.nj.us/web15z/ACMSPA/
,Criminal Case Public Access ,https://njcourts.judiciary.state.nj.us/web15z/ExternalPGPA/
New Mexico,New Mexico Courts Case Lookup,https://caselookup.nmcourts.gov/caselookup/app
,Bernalillo County Metropolitan Court Case Lookup ,https://caselookup.nmcourts.gov/caselookup/app
New York,WebCivil Supreme ,https://iapps.courts.state.ny.us/webcivil/FCASMain
,WebCrims,https://iapps.courts.state.ny.us/webcrim_attorney/AttorneyWelcome
,WebFamily ,https://iapps.courts.state.ny.us/fcasfamily/main
North Dakota,Supreme Court Docket Search,http://www.ndcourts.com/search/docket.asp
Ohio,Supreme Court Case Docket,http://www.sconet.state.oh.us/Clerk/ecms/
,Cuyahoga County Public Access ,http://probate.cuyahogacounty.us/pa/
,Fairfield County Clerk of Courts ,http://courtview.co.fairfield.oh.us/eservices/home.page.2
,Franklin County Public Access ,http://www.fcmcclerk.com/case/search
,Franklin County Probate Case Search ,https://probate.franklincountyohio.gov/search/
,Hamilton County Case Inquiry.,https://courtclerk.org/records-search/
,Lake County Court Records . ,https://phoenix.lakecountyohio.gov/pa/
,Montgomery County Public Records Online (PRO) System .,http://www.clerk.co.montgomery.oh.us/pro/
,Summit County Case Search ,http://www.cpclerk.co.summit.oh.us/Disclaimer.asp?toPage=SelectDivision.asp
Oklahoma,Oklahoma State Court Network .,http://www.oscn.net/applications/oscn/start.asp?viewType=DOCKETS
,Oklahoma District Court Records . ,http://www1.odcr.com/
Oregon,Your Access to Oregon Cases on the Internet. ,https://webportal.courts.oregon.gov/portal/
,Public Records Search from the Oregon State Police.,https://www.oregon.gov/osp/PRR/Pages/index.aspx
Pennsylvania,Pennsylvania's Unified Judicial System (UJS) Web Portal.,http://ujsportal.pacourts.us/
,Criminal History Search.,https://epatch.state.pa.us/Home.jsp
,UJS Public Access Policies,http://www.pacourts.us/public-records
,"First Judicial District, Pennsylvania Civil Trial Division ",http://courts.phila.gov/common-pleas/trial/civil/
Rhode Island,Criminal Information Database.,http://courtconnect.courts.state.ri.us/pls/ri_adult/ck_public_qry_main.cp_main_idx
South Carolina,Criminal Records Check. ,https://catch.sled.sc.gov/
,Incarcerated Criminals Search.  ,http://www.doc.sc.gov/InmateSearchDisclaimer.html
,South Carolina Judicial Department. ,https://www.sccourts.org/caseSearch/
South Dakota,Criminal and Civil Records.  ,http://www.sdjudicial.com/courtinfo/cricivrecords.aspx
,Civil Judgments database. ,http://ujs.sd.gov/Self_Help_Center/civiljudgement.aspx
Texas,Subscriber Access Criminal/Subscriber Access Civil   -,http://home.jims.hctx.net/webservices.aspx
,5th Court of Appeals Case Information.,http://www.search.txcourts.gov/CaseSearch.aspx?coa=coa05
Utah,Search Court Records.  ,http://www.utcourts.gov/records/
,Xchange.  ,http://casesearch.utcourts.gov/
,Appellate Docket Search. ,http://www.utcourts.gov/courts/appell/appellatesearch.htm
